Hormone,Sample Type,Significant Tests,Total Tests,Significance Ratio,Conclusion
GA4,887,2,4,0.5,"Some effect observed, but not consistent."
GA4,735,2,4,0.5,"Some effect observed, but not consistent."
GA4,698,0,4,0.0,No statistical evidence of hormone impact.
GA4,680,0,4,0.0,No statistical evidence of hormone impact.
GA4,402,1,4,0.25,"Some effect observed, but not consistent."
GA4,171,1,4,0.25,"Some effect observed, but not consistent."
GA4,703,0,4,0.0,No statistical evidence of hormone impact.
GA4,609,0,4,0.0,No statistical evidence of hormone impact.
GA4,35,1,4,0.25,"Some effect observed, but not consistent."
GA1,887,2,4,0.5,"Some effect observed, but not consistent."
GA1,735,1,4,0.25,"Some effect observed, but not consistent."
GA1,698,0,4,0.0,No statistical evidence of hormone impact.
GA1,680,0,4,0.0,No statistical evidence of hormone impact.
GA1,402,0,4,0.0,No statistical evidence of hormone impact.
GA1,171,0,4,0.0,No statistical evidence of hormone impact.
GA1,703,0,4,0.0,No statistical evidence of hormone impact.
GA1,609,0,4,0.0,No statistical evidence of hormone impact.
GA1,35,0,4,0.0,No statistical evidence of hormone impact.
GA7,887,3,4,0.75,Hormone treatment likely caused changes.
GA7,735,2,4,0.5,"Some effect observed, but not consistent."
GA7,698,1,4,0.25,"Some effect observed, but not consistent."
GA7,680,0,4,0.0,No statistical evidence of hormone impact.
GA7,402,0,4,0.0,No statistical evidence of hormone impact.
GA7,171,3,4,0.75,Hormone treatment likely caused changes.
GA7,703,0,4,0.0,No statistical evidence of hormone impact.
GA7,609,0,4,0.0,No statistical evidence of hormone impact.
GA7,35,1,4,0.25,"Some effect observed, but not consistent."
GA3,887,1,4,0.25,"Some effect observed, but not consistent."
GA3,735,1,4,0.25,"Some effect observed, but not consistent."
GA3,698,0,4,0.0,No statistical evidence of hormone impact.
GA3,680,0,4,0.0,No statistical evidence of hormone impact.
GA3,402,0,4,0.0,No statistical evidence of hormone impact.
GA3,171,0,4,0.0,No statistical evidence of hormone impact.
GA3,703,0,4,0.0,No statistical evidence of hormone impact.
GA3,609,0,4,0.0,No statistical evidence of hormone impact.
GA3,35,2,4,0.5,"Some effect observed, but not consistent."
GA5,887,0,4,0.0,No statistical evidence of hormone impact.
GA5,735,0,4,0.0,No statistical evidence of hormone impact.
GA5,698,0,4,0.0,No statistical evidence of hormone impact.
GA5,680,0,4,0.0,No statistical evidence of hormone impact.
GA5,402,0,4,0.0,No statistical evidence of hormone impact.
GA5,171,0,4,0.0,No statistical evidence of hormone impact.
GA5,703,1,4,0.25,"Some effect observed, but not consistent."
GA5,609,0,4,0.0,No statistical evidence of hormone impact.
GA5,35,1,4,0.25,"Some effect observed, but not consistent."
GA34,887,3,4,0.75,Hormone treatment likely caused changes.
GA34,735,0,4,0.0,No statistical evidence of hormone impact.
GA34,698,0,4,0.0,No statistical evidence of hormone impact.
GA34,680,0,4,0.0,No statistical evidence of hormone impact.
GA34,402,0,4,0.0,No statistical evidence of hormone impact.
GA34,171,0,4,0.0,No statistical evidence of hormone impact.
GA34,703,0,4,0.0,No statistical evidence of hormone impact.
