Sample_Number;Sample_Name;GA4;GA1;GA7;GA3;GA5;GA34;GA8;ABA;JA;IAA;SA;DHZ;iP;tZ;Control;Hormone_Treated;Trip_Number
L83;K1 - 887 - A;0.453;0.092;0.42;18.974;9.16;0.06;0.23;1887.26;10.21;7.83;397.19;0.09;0.02;0.03;True;False;1
L84;K2 - 887 - A;0.976;0.235;0.37;38.549;15.07;0.04;0.78;1190.38;2.98;9.19;169.72;0.16;0.02;0.06;True;False;1
L85;K3 - 887 - A;9.732;0.151;0.57;16.559;3.85;0.11;0.17;1213.44;78.89;9.8;110.17;0.06;0.01;0.04;True;False;1
L86;K4 - 887 - A;7.79;0.041;0.5;17.761;5.63;0.18;0.32;1027.04;38.46;9.09;129.51;0.14;0.02;0.06;True;False;1
L87;GA1 - 887 - A;6.901;0.142;1.89;22.218;5.91;0.13;0.34;1466.38;37.72;10.82;187.55;0.11;0.01;0.04;False;True;1
L88;GA2 - 887 - A;5.586;0.3;4.7;35.117;7.16;0.07;0.52;1296.01;10.44;11.36;147.4;0.12;0.02;0.06;False;True;1
L89;GA3 - 887 - A;5.64;0.269;1.8;37.68;9.82;0.15;0.64;2232.18;20.12;9.43;237.24;0.09;0.01;0.04;False;True;1
L90;GA4 - 887 - A;4.397;0.194;3.27;40.464;15.73;0.2;0.55;1467.14;28.31;8.68;172.13;0.11;0.01;0.03;False;True;1
L91;K1 - 735 - A;11.43;0.285;1.46;88.291;9.59;1.07;1.51;2117.26;31.95;8.66;59.51;0.04;0.01;0.02;True;False;1
L92;K2 - 735 - A;5.058;0.248;0.26;70.142;11.43;0.51;1.83;1103.1;113.55;11.19;36.89;0.06;0.01;0.03;True;False;1
L93;K3 - 735 - A;3.879;0.5;0.85;70.327;11.93;0.32;1.76;2194.18;73.91;11.52;35.13;0.08;0.01;0.03;True;False;1
L94;K4 - 735 - A;1.305;0.316;1.49;64.283;10.05;0.15;1.75;1775.09;10.54;6.09;34.67;0.04;0.01;0.01;True;False;1
L95;GA1 - 735 - A;0.886;0.077;0.34;28.272;2.94;0.12;0.7;2609.77;30.08;10.55;182.87;0.05;0.01;0.02;False;True;1
L96;GA2 - 735 - A;4.083;0.288;0.74;54.129;9.5;0.13;0.91;1585.27;17.18;12.18;50.82;0.07;0.01;0.03;False;True;1
L97;GA3 - 735 - A;1.967;0.298;1.47;68.149;11.36;0.22;1.72;2705.29;41.65;9.56;57.17;0.08;0.01;0.02;False;True;1
L98;GA4 - 735 - A;1.994;0.158;0.63;59.91;8.46;0.2;1.6;2921.83;22.58;6.78;140.76;0.08;0.01;0.03;False;True;1
L99;K1 - 698 - A;1.774;0.501;1.28;108.281;8.58;0.02;1.97;2024.86;69.76;11.49;43.47;0.1;0.01;0.03;True;False;1
L100;K2 - 698 - A;2.907;0.487;1.14;81.246;6.75;0.02;1.29;2110.57;24.99;14.26;66.54;0.12;0.01;0.04;True;False;1
L101;K3 - 698 - A;0.38;0.185;0.4;41.126;5.67;0.01;1.36;2658.77;13.62;11.88;200.4;0.11;0.01;0.04;True;False;1
L102;K4 - 698 - A;2.478;0.594;1.41;104.799;5.54;0.04;1.36;1619.8;19.55;11.3;42.38;0.1;0.01;0.06;True;False;1
L103;GA1 - 698 - A;1.465;7.359;1.27;31.675;2.15;0.0;0.59;2866.77;40.94;12.62;128.84;0.09;0.01;0.07;False;True;1
L104;GA2 - 698 - A;1.591;0.449;1.33;50.438;4.67;0.08;3.49;1787.12;53.29;8.44;34.99;0.14;0.01;0.05;False;True;1
L105;GA3 - 698 - A;5.054;0.369;2.2;92.366;5.75;0.01;1.32;1160.0;32.85;9.84;42.94;0.13;0.01;0.08;False;True;1
L106;GA4 - 698 - A;2.677;0.485;1.36;80.844;7.79;0.02;1.53;1020.37;43.54;8.22;60.37;0.09;0.01;0.04;False;True;1
L107;K1 - 680 - A;6.421;0.588;1.75;118.642;15.66;11.47;2.0;1492.98;108.47;13.19;74.45;0.11;0.01;0.05;True;False;1
L108;K2 - 680 - A;1.449;0.561;1.69;102.748;14.84;2.54;2.19;1583.9;19.51;12.18;87.15;0.09;0.01;0.05;True;False;1
L109;K3 - 680 - A;4.423;0.62;3.08;102.578;13.6;7.39;2.0;1601.61;30.0;14.69;69.53;0.13;0.01;0.06;True;False;1
L110;K4 - 680 - A;1.792;0.523;1.56;111.768;17.34;1.93;3.05;2694.0;19.2;10.38;95.63;0.07;0.01;0.03;True;False;1
L111;GA1 - 680 - A;1.963;0.728;0.77;110.429;13.4;4.56;4.28;1580.02;43.5;8.96;79.79;0.06;0.01;0.03;False;True;1
L112;GA2 - 680 - A;6.411;0.742;2.34;101.828;11.94;4.89;2.12;2824.45;18.06;10.27;80.16;0.09;0.01;0.05;False;True;1
L113;GA3 - 680 - A;1.301;0.414;1.69;88.542;11.33;1.53;2.23;1590.72;16.5;10.5;95.53;0.08;0.01;0.06;False;True;1
L114;GA4 - 680 - A;1.893;0.767;2.67;116.463;15.05;3.31;2.15;1500.12;53.81;11.96;80.51;0.08;0.01;0.03;False;True;1
L115;K1 - 402 - A;2.248;1.14;2.4;62.932;19.87;0.6;3.91;1496.22;17.65;8.8;67.89;0.13;0.01;0.05;True;False;1
L116;K2 - 402 - A;1.96;1.411;1.85;85.379;24.45;0.41;4.23;1519.61;47.99;10.07;47.8;0.13;0.01;0.05;True;False;1
L117;K3 - 402 - A;1.321;0.999;3.49;70.122;19.78;0.24;4.17;1483.75;18.14;8.76;76.23;0.12;0.01;0.04;True;False;1
L118;K4 - 402 - A;1.534;1.243;2.39;61.841;20.39;0.37;5.44;1309.11;6.61;11.39;40.54;0.08;0.01;0.03;True;False;1
L119;GA1 - 402 - A;0.201;1.323;2.86;71.813;13.9;0.25;5.53;1035.3;88.18;7.11;24.01;0.07;0.01;0.02;False;True;1
L120;GA2 - 402 - A;0.433;0.817;3.34;75.639;14.73;0.04;6.64;933.6;10.41;8.5;41.97;0.09;0.0;0.03;False;True;1
L121;GA3 - 402 - A;0.694;1.145;1.74;85.944;32.25;0.2;7.75;1215.67;20.63;11.52;38.47;0.14;0.01;0.04;False;True;1
L122;GA4 - 402 - A;2.347;0.775;3.33;63.655;15.65;0.24;3.91;1897.14;104.45;12.23;36.75;0.09;0.01;0.03;False;True;1
L123;K1 - 171 - A;7.335;0.923;3.47;78.551;20.69;0.56;4.74;1053.34;22.72;9.81;59.05;0.1;0.01;0.05;True;False;1
L124;K2 - 171 - A;2.772;0.566;4.11;82.818;24.32;0.21;5.82;2793.25;49.08;10.34;80.62;0.08;0.01;0.04;True;False;1
L125;K3 - 171 - A;1.937;0.476;3.76;79.452;25.71;0.13;5.26;2805.38;2.32;6.2;44.39;0.07;0.02;0.02;True;False;1
L126;K4 - 171 - A;7.705;0.636;4.27;66.546;17.27;1.03;3.82;2013.04;4.81;9.87;62.78;0.09;0.01;0.04;True;False;1
L127;GA1 - 171 - A;2.141;1.031;3.01;80.409;21.56;0.4;5.76;1468.01;13.31;7.42;66.61;0.1;0.01;0.06;False;True;1
L128;GA2 - 171 - A;2.681;0.46;3.37;75.756;17.23;0.33;5.07;1824.53;2.96;5.04;39.42;0.07;0.01;0.03;False;True;1
L129;GA3 - 171 - A;0.381;0.767;3.02;84.373;20.65;0.24;5.54;1033.26;14.27;7.54;105.66;0.1;0.01;0.05;False;True;1
