GA4;
GA1 - 171 ;2.141
GA1 - 35 ;6.413
GA1 - 402 ;0.201
GA1 - 609 ;1.87
GA1 - 680 ;1.963
GA1 - 698 ;1.465
GA1 - 703 ;2.681
GA1 - 735 ;0.886
GA1 - 887 ;6.901
GA2 - 171 ;2.681
GA2 - 35 ;5.555
GA2 - 402 ;0.433
GA2 - 609 ;0.587
GA2 - 680 ;6.411
GA2 - 698 ;1.591
GA2 - 703 ;3.945
GA2 - 735 ;4.083
GA2 - 887 ;5.586
GA3 - 171 ;0.381
GA3 - 35 ;1.733
GA3 - 402 ;0.694
GA3 - 609 ;2.774
GA3 - 680 ;1.301
GA3 - 698 ;5.054
GA3 - 703 ;5.895
GA3 - 735 ;1.967
GA3 - 887 ;5.64
GA4 - 171 ;2.581
GA4 - 35 ;4.743
GA4 - 402 ;2.347
GA4 - 609 ;2.578
GA4 - 680 ;1.893
GA4 - 698 ;2.677
GA4 - 703 ;3.177
GA4 - 735 ;1.994
GA4 - 887 ;4.397
K1 - 171 ;7.335
K1 - 35 ;1.49
K1 - 402 ;2.248
K1 - 609 ;4.837
K1 - 680 ;6.421
K1 - 698 ;1.774
K1 - 703 ;2.595
K1 - 735 ;11.43
K1 - 887 ;0.453
K2 - 171 ;2.772
K2 - 35 ;2.138
K2 - 402 ;1.96
K2 - 609 ;2.078
K2 - 680 ;1.449
K2 - 698 ;2.907
K2 - 703 ;0.794
K2 - 735 ;5.058
K2 - 887 ;0.976
K3 - 171 ;1.937
K3 - 35 ;2.778
K3 - 402 ;1.321
K3 - 609 ;4.664
K3 - 680 ;4.423
K3 - 698 ;0.38
K3 - 703 ;4.017
K3 - 735 ;3.879
K3 - 887 ;9.732
K4 - 171 ;7.705
K4 - 35 ;2.453
K4 - 402 ;1.534
K4 - 609 ;2.064
K4 - 680 ;1.792
K4 - 698 ;2.478
K4 - 703 ;6.186
K4 - 735 ;1.305
K4 - 887 ;7.79
GA1 - 171 ;3.414
GA1 - 35 ;6.009
GA1 - 402 ;1.425
GA1 - 609 ;0.977
GA1 - 680 ;1.673
GA1 - 698 ;2.891
GA1 - 703 ;1.739
GA1 - 735 ;0.823
GA1 - 887 ;3.128
GA2 - 171 ;2.045
GA2 - 35 ;9.069
GA2 - 402 ;1.232
GA2 - 609 ;3.2
GA2 - 680 ;1.001
GA2 - 698 ;1.483
GA2 - 703 ;4.005
GA2 - 735 ;3.07
GA2 - 887 ;2.817
GA3 - 171 ;2.265
GA3 - 35 ;1.268
GA3 - 402 ;1.668
GA3 - 609 ;1.532
GA3 - 680 ;1.601
GA3 - 698 ;3.839
GA3 - 703 ;3.334
GA3 - 735 ;5.251
GA3 - 887 ;8.504
GA4 - 171 ;1.092
GA4 - 35 ;5.44
GA4 - 402 ;2.301
GA4 - 609 ;3.39
GA4 - 680 ;0.89
GA4 - 698 ;0.976
GA4 - 703 ;2.523
GA4 - 735 ;6.045
GA4 - 887 ;4.655
K1 - 171 ;2.741
K1 - 35 ;2.161
K1 - 402 ;0.838
K1 - 609 ;1.383
K1 - 680 ;1.486
K1 - 698 ;1.676
K1 - 703 ;4.95
K1 - 735 ;8.962
K1 - 887 ;0.383
K2 - 171 ;2.705
K2 - 35 ;5.458
K2 - 402 ;0.563
K2 - 609 ;8.807
K2 - 680 ;3.73
K2 - 698 ;6.193
K2 - 703 ;3.064
K2 - 735 ;3.533
K2 - 887 ;0.602
K3 - 171 ;2.58
K3 - 35 ;4.518
K3 - 402 ;3.063
K3 - 609 ;6.447
K3 - 680 ;1.334
K3 - 698 ;1.256
K3 - 703 ;3.229
K3 - 735 ;4.463
K3 - 887 ;0.266
K4 - 171 ;3.073
K4 - 35 ;3.027
K4 - 402 ;0.916
