Descriptive Statistics Output
======================================================================

Descriptive Statistics for GA4:
 Sample_Type  Trip_Number  Min_Control  Median_Control  Q3_Control  Max_Control  Min_Treated  Median_Treated  Q3_Treated  Max_Treated
         171            1        1.937          5.0535     7.42750        7.705        0.381          2.3610     2.60600        2.681
         171            2        2.580          2.7230     2.82400        3.073        1.092          2.1550     2.55225        3.414
         171            3        0.385          0.8650     1.90125        3.876        0.700          2.3960     7.18000       18.301
         171            4        0.181          0.5380     0.75525        0.813        1.597          2.3540     8.86575       28.089
         402            1        1.321          1.7470     2.03200        2.248        0.201          0.5635     1.10725        2.347
         402            2        0.563          0.8770     1.45275        3.063        1.232          1.5465     1.82625        2.301
         402            3        0.238          0.4850     0.59425        0.850        0.698          6.1220    48.44600      171.245
         402            4        0.099          0.2355     0.28050        0.315        0.383          1.9380     2.63125        4.288
         609            1        2.064          3.3710     4.70725        4.837        0.587          2.2240     2.62700        2.774
         609            2        1.383          5.5350     7.03700        8.807        0.977          2.3660     3.24750        3.390
         609            3        0.275          1.3475     2.23450        2.839        2.502         10.7375    11.80925       12.170
         609            4        0.199          0.4500     0.76675        0.997        0.449          2.1850     4.19050        5.458
         680            1        1.449          3.1075     4.92250        6.421        1.301          1.9280     3.07500        6.411
         680            2        1.334          1.7975     2.51425        3.730        0.890          1.3010     1.61900        1.673
         680            3        0.083          0.8155     0.83250        0.840        0.745          9.9080    27.19700       52.055
         680            4        0.192          0.6920     1.02000        1.989        0.386          1.6035     2.70625        2.989
         698            1        0.380          2.1260     2.58525        2.907        1.465          2.1340     3.27125        5.054
         698            2        1.256          1.6620     2.80525        6.193        0.976          2.1870     3.12800        3.839
         698            3        0.387          0.9125     1.02050        1.307        0.170          3.3230    52.87800      193.956
         698            4        0.775          1.7565     2.15375        2.441        1.655          9.9230    26.46400       57.310
         703            1        0.794          3.3060     4.55925        6.186        2.681          3.5610     4.43250        5.895
         703            2        2.781          3.1465     3.65925        4.950        1.739          2.9285     3.50175        4.005
         703            3        0.813          3.4560     4.00350        5.043        1.595          4.2695     6.08150        6.845
         703            4        1.784          3.0650     4.49925        5.361        1.806          2.1005     7.20975       21.894
         735            1        1.305          4.4685     6.65100       11.430        0.886          1.9805     2.51625        4.083
         735            2        3.208          3.9980     5.58775        8.962        0.823          4.1605     5.44950        6.045
