Trip,Sample Type,Hormone,Control N,Treated N,p-value,Effect Size,Effect Category,Conclusion,Causation
1,887,GA4,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
2,887,GA4,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
3,887,GA4,4,4,0.0571,-0.875,Large,No Significant Difference,Possibly Random or Insufficient Data
4,887,GA4,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
1,735,GA4,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,735,GA4,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,735,GA4,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
4,735,GA4,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
1,698,GA4,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
2,698,GA4,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,698,GA4,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
4,698,GA4,4,4,0.1143,-0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
1,680,GA4,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
2,680,GA4,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
3,680,GA4,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
4,680,GA4,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,402,GA4,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,402,GA4,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
3,402,GA4,4,4,0.0571,-0.875,Large,No Significant Difference,Possibly Random or Insufficient Data
4,402,GA4,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
1,171,GA4,4,4,0.2,0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
2,171,GA4,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
3,171,GA4,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
4,171,GA4,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
1,703,GA4,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
2,703,GA4,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,703,GA4,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,703,GA4,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
1,609,GA4,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,609,GA4,4,4,0.2,0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
3,609,GA4,4,4,0.0571,-0.875,Large,No Significant Difference,Possibly Random or Insufficient Data
4,609,GA4,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
1,35,GA4,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
2,35,GA4,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
3,35,GA4,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
4,35,GA4,4,4,0.1143,-0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
1,887,GA1,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
2,887,GA1,4,4,0.0284,-1.0,Large,Significant Difference,Likely Not Random
3,887,GA1,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
4,887,GA1,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
1,735,GA1,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,735,GA1,4,4,0.0286,1.0,Large,Significant Difference,Likely Not Random
3,735,GA1,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
4,735,GA1,4,4,0.7715,0.1875,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,698,GA1,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
2,698,GA1,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,698,GA1,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,698,GA1,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,680,GA1,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,680,GA1,4,4,0.2,0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
3,680,GA1,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,680,GA1,4,4,0.1143,-0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
1,402,GA1,4,4,0.4857,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
2,402,GA1,4,4,0.2,0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
3,402,GA1,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
4,402,GA1,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
1,171,GA1,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
2,171,GA1,4,4,0.3836,0.4375,Large,No Significant Difference,Possibly Random or Insufficient Data
3,171,GA1,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,171,GA1,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
1,703,GA1,4,4,0.1143,-0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
2,703,GA1,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,703,GA1,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
4,703,GA1,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
1,609,GA1,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
2,609,GA1,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
