Sample_Type,Trip_Number,Hormone,min_Control,median_Control,Q3_Control,max_Control,min_Treated,median_Treated,Q3_Treated,max_Treated
35,1,GA4,1.49,2.2954999999999997,2.53425,2.778,1.733,5.149,5.7695,6.413
35,2,GA4,2.161,3.7725,4.753,5.458,1.268,5.724500000000001,6.774000000000001,9.069
35,3,GA4,0.116,0.8140000000000001,0.9205,0.958,2.372,4.138,16.08475,51.361
35,4,GA4,0.071,0.131,0.23,0.422,0.37,1.3904999999999998,24.505,90.853
171,1,GA4,1.937,5.0535,7.4275,7.705,0.381,2.3609999999999998,2.606,2.681
171,2,GA4,2.58,2.723,2.824,3.073,1.092,2.1550000000000002,2.55225,3.414
171,3,GA4,0.385,0.865,1.90125,3.876,0.7,2.396,7.18,18.301
171,4,GA4,0.181,0.538,0.75525,0.813,1.597,2.354,8.86575,28.089
402,1,GA4,1.321,1.7469999999999999,2.032,2.248,0.201,0.5635,1.10725,2.347
402,2,GA4,0.563,0.877,1.45275,3.063,1.232,1.5465,1.82625,2.301
402,3,GA4,0.238,0.485,0.59425,0.85,0.698,6.122,48.446,171.245
402,4,GA4,0.099,0.23550000000000001,0.2805,0.315,0.383,1.9380000000000002,2.63125,4.288
609,1,GA4,2.064,3.3709999999999996,4.70725,4.837,0.587,2.224,2.627,2.774
609,2,GA4,1.383,5.535,7.037,8.807,0.977,2.366,3.2475,3.39
609,3,GA4,0.275,1.3475,2.2344999999999997,2.839,2.502,10.7375,11.80925,12.17
609,4,GA4,0.199,0.44999999999999996,0.7667499999999999,0.997,0.449,2.1849999999999996,4.1905,5.458
680,1,GA4,1.449,3.1075,4.9225,6.421,1.301,1.928,3.075,6.411
680,2,GA4,1.334,1.7974999999999999,2.51425,3.73,0.89,1.301,1.619,1.673
680,3,GA4,0.083,0.8155,0.8325,0.84,0.745,9.908000000000001,27.197000000000003,52.055
680,4,GA4,0.192,0.692,1.02,1.989,0.386,1.6035,2.70625,2.989
698,1,GA4,0.38,2.1260000000000003,2.5852500000000003,2.907,1.465,2.134,3.27125,5.054
698,2,GA4,1.256,1.662,2.80525,6.193,0.976,2.1870000000000003,3.128,3.839
698,3,GA4,0.387,0.9125000000000001,1.0205,1.307,0.17,3.3230000000000004,52.878,193.956
698,4,GA4,0.775,1.7565,2.1537499999999996,2.441,1.655,9.922999999999998,26.464,57.31
703,1,GA4,0.794,3.306,4.5592500000000005,6.186,2.681,3.561,4.4325,5.895
703,2,GA4,2.781,3.1465,3.65925,4.95,1.739,2.9285,3.50175,4.005
703,3,GA4,0.813,3.456,4.0035,5.043,1.595,4.2695,6.0815,6.845
703,4,GA4,1.784,3.065,4.49925,5.361,1.806,2.1005,7.20975,21.894
735,1,GA4,1.305,4.4685,6.651,11.43,0.886,1.9805000000000001,2.5162500000000003,4.083
735,2,GA4,3.208,3.998,5.58775,8.962,0.823,4.1605,5.4495000000000005,6.045
735,3,GA4,3.316,3.49,3.73175,4.151,13.403,87.823,165.3735,177.246
735,4,GA4,0.399,1.3605,2.125,3.001,3.584,8.475999999999999,25.203,70.167
887,1,GA4,0.453,4.383,8.2755,9.732,4.397,5.6129999999999995,5.9552499999999995,6.901
887,2,GA4,0.266,0.4925,0.9085,1.828,2.817,3.8915,5.61725,8.504
887,3,GA4,0.928,3.8280000000000003,5.4115,9.844,8.616,22.33,31.27525,45.223
887,4,GA4,1.125,2.8280000000000003,5.80675,10.684,22.695,110.0915,146.95274999999998,169.245
35,1,GA1,0.33,0.457,0.5,0.623,0.475,0.671,0.714,0.813
35,2,GA1,0.453,0.52,0.53725,0.562,0.418,0.7095,0.7505,0.827
35,3,GA1,0.438,0.5895,0.73175,0.767,0.452,0.56,0.74925,1.059
35,4,GA1,0.699,0.856,1.03175,1.31,0.887,1.335,1.436,1.484
171,1,GA1,0.476,0.601,0.70775,0.923,0.46,0.6975,0.833,1.031
171,2,GA1,0.408,0.46950000000000003,0.51125,0.551,0.366,0.40049999999999997,0.44949999999999996,0.574
171,3,GA1,0.366,0.5045000000000001,0.56325,0.579,0.347,0.5575,0.69375,0.885
171,4,GA1,0.391,0.7365,0.89175,1.17,0.81,1.0255,1.17275,1.31
402,1,GA1,0.999,1.1915,1.2850000000000001,1.411,0.775,0.981,1.1895,1.323
402,2,GA1,0.674,0.758,0.8222499999999999,0.847,0.637,0.675,0.6910000000000001,0.712
402,3,GA1,0.805,1.002,1.1192499999999999,1.39,0.272,0.741,1.2955,1.651
402,4,GA1,0.615,0.948,1.002,1.02,0.488,0.9430000000000001,1.24725,1.422
609,1,GA1,0.429,0.548,0.61175,0.731,0.485,0.5445,0.59275,0.604
609,2,GA1,0.515,0.8305,0.85775,0.887,0.512,0.6065,0.73925,0.893
609,3,GA1,0.621,1.0614999999999999,1.3955,1.436,0.708,0.8665,0.97,1.012
609,4,GA1,0.926,1.2535,1.364,1.394,1.02,1.306,1.47525,1.698
680,1,GA1,0.523,0.5745,0.596,0.62,0.414,0.735,0.74825,0.767
680,2,GA1,0.488,0.5934999999999999,0.6325,0.697,0.303,0.48850000000000005,0.55575,0.606
680,3,GA1,0.201,0.5,0.663,0.777,0.443,0.5575,0.753,1.296
680,4,GA1,0.385,0.524,0.61425,0.822,0.707,0.835,0.9692500000000001,1.153
698,1,GA1,0.185,0.494,0.52425,0.594,0.369,0.46699999999999997,2.2035,7.359
698,2,GA1,0.354,0.4515,0.49575,0.549,0.243,0.43000000000000005,0.55175,0.569
698,3,GA1,0.51,0.5805,0.6535,0.682,0.309,0.579,0.59475,0.633
698,4,GA1,0.733,0.8295,0.89075,0.905,0.719,0.9055,1.103,1.601
703,1,GA1,0.186,0.28500000000000003,0.37775000000000003,0.38,0.345,0.4555,0.513,0.525
703,2,GA1,0.252,0.313,0.3305,0.338,0.204,0.3275,0.3755,0.389
703,3,GA1,0.253,0.35350000000000004,0.4335,0.618,0.333,0.344,0.35824999999999996,0.392
703,4,GA1,0.461,0.5105,0.57275,0.719,0.508,0.6575,0.7445,0.986
735,1,GA1,0.248,0.3005,0.362,0.5,0.077,0.22299999999999998,0.2905,0.298
735,2,GA1,0.38,0.5015,0.59575,0.637,0.171,0.3095,0.321,0.339
735,3,GA1,0.518,0.558,0.587,0.617,0.398,0.5825,0.615,0.636
735,4,GA1,0.65,0.7585,0.8115,0.849,0.397,0.7015,0.8069999999999999,1.074
887,1,GA1,0.041,0.1215,0.172,0.235,0.142,0.2315,0.27675,0.3
887,2,GA1,0.113,0.1225,0.131,0.131,0.181,0.1885,0.2435,0.386
887,3,GA1,0.203,0.3315,0.483,0.744,0.357,0.3915,0.44925000000000004,0.615
887,4,GA1,0.266,0.573,0.58875,0.627,0.714,0.7869999999999999,1.2575,2.462
35,1,GA7,1.49,3.8550000000000004,5.5125,5.73,1.37,2.125,2.6625,3.15
35,2,GA7,1.33,2.76,3.0275,3.05,2.55,4.0600000000000005,5.1475,6.34
35,3,GA7,0.29,1.4,2.0300000000000002,3.29,4.62,5.99,25.222499999999997,79.02
35,4,GA7,,,,,0.18,0.795,16.375,61.57
